job_type,job_location,analyst_type,company_type,is_manager,is_python,is_data_analyst,is_ml,is_sql,is_full_time,education,viz_tool,year_of_surv,exp,salary
שכירה,אזור תל אביב,All kind of data analysis,הייטק,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Redash,2022,5,16000
שכירה,אזור תל אביב,Business analyst,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Google Data studio,2022,10,33000
שכירה,עבודה מהבית,Marketing,הייטק,לא,לא,כן,לעיתים נדירות,לא,מלאה,אין תואר,Tableau,2022,3,20000
שכירה,מרכז,Marketing,הייטק,כן,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,7,28000
שכירה,מרכז,All kind of data analysis,הייטק,לא,כן,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Power BI,2022,15,24000
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,הנדסת תעשיה וניהול,Qlik,2022,1,15000
שכירה,מרכז,All kind of data analysis,הייטק (גלובלי),לא,כן,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,2,22000
שכירה,אזור תל אביב,Web Analyst,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,הנדסת תעשיה וניהול,Excel,2022,1,
שכירה,אזור תל אביב,Marketing,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,אחר,Tableau,2022,3,23000
שכירה,מרכז,Data sceintist,תעשייה ישראלית,כן,כן,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Qlik,2022,8,33000
שכירה,מרכז,Business analyst,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,אין תואר,Power BI,2022,3,
שכירה,אזור תל אביב,All kind of data analysis,תעשייה ישראלית,לא,לעיתים נדירות,כן,לא,כן,מלאה,מדעי הטבע,Qlik,2022,1,16500
שכירה,צפון,other,אחר,לא,לא,כן,לא,כן,מלאה,מנהל עסקים,Excel,2022,2,18000
שכירה,מרכז,All kind of data analysis,הייטק (גלובלי),לא,לעיתים נדירות,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Qlik,2022,4,23000
שכירה,מרכז,All kind of data analysis,הייטק,לא,כן,כן,כן,כן,מלאה,כלכלה / פיננסים / חשבונאות,Other,2022,1,14000
שכירה,אזור תל אביב,Product,הייטק,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,מדעי המחשב,Tableau,2022,2,21000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,לא,לא,כן,לא,לעיתים נדירות,מלאה,הנדסת תעשיה וניהול,Other,2022,7,25000
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,7,22000
שכירה,מרכז,Financial Analyst,הייטק,לא,כן,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Google Data studio,2022,3,15000
שכירה,אזור חיפה,Product,צהל,לא,לעיתים נדירות,כן,לעיתים נדירות,לעיתים נדירות,מלאה,אין תואר,Python/R,2022,10,21000
שכירה,אזור תל אביב,Product,הייטק,כן,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,4,32000
שכירה,אזור תל אביב,Product,הייטק (גלובלי),לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,1,21000
שכירה,אזור ירושלים,Business analyst,ממשלתיח,לא,כן,כן,כן,לא,חצי משרה,מדעי ההתנהגות או חברה,Power BI,2022,1,4000
שכירה,אזור תל אביב,All kind of data analysis,תעשייה ישראלית,כן,לא,כן,לא,לעיתים נדירות,מלאה,מדעי ההתנהגות או חברה,Qlik,2022,5,21000
שכירה,עבודה מהבית,All kind of data analysis,אחר,לא,כן,כן,לא,כן,מלאה,אין תואר,Qlik,2022,5,26000
שכירה,אזור ירושלים,All kind of data analysis,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,מדעי הטבע,Power BI,2022,5,15000
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,10,23000
שכירה,מרכז,All kind of data analysis,אחר,לא,לא,כן,לעיתים נדירות,לא,מלאה,אין תואר,Excel,2022,2,9500
שכירה,אזור תל אביב,Business analyst,הייטק (גלובלי),לא,לא,כן,לעיתים נדירות,כן,מלאה,מדעים מדויקים,Tableau,2022,4,22000
שכירה,מרכז,Marketing,הייטק,לא,לא,כן,לעיתים נדירות,כן,מלאה,מדעי ההתנהגות או חברה,Other,2022,2,22000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Looker,2022,4.5,30000
עצמאית,מרכז,All kind of data analysis,תעשייה ישראלית,כן,לעיתים נדירות,כן,לעיתים נדירות,כן,,כלכלה / פיננסים / חשבונאות,Power BI,2022,20,
שכירה,אזור תל אביב,Product,הייטק,לא,כן,כן,לא,כן,מלאה,מערכות מידע,Tableau,2022,12,27000
שכירה,אזור תל אביב,other,הייטק (גלובלי),לא,לא,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,4,20000
שכירה,מרכז,Business analyst,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,סטטיסטיקה,Tableau,2022,1,18000
שכירה,עבודה מהבית,All kind of data analysis,הייטק,לא,כן,כן,לעיתים נדירות,לעיתים נדירות,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,0,10500
שכירה,אזור תל אביב,Product,הייטק,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Looker,2022,1,18000
שכירה,מרכז,All kind of data analysis,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,3,12000
שכירה,אזור תל אביב,Product,הייטק,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,3,26000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Other,2022,5,25000
שכירה,אזור באר שבע,All kind of data analysis,הייטק,לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Google Data studio,2022,3,9500
שכירה,אזור ירושלים,other,ממשלתיח,לא,כן,כן,לעיתים נדירות,לא,חצי משרה,הנדסת תעשיה וניהול,Tableau,2022,2,7700
שכירה,אזור תל אביב,Marketing,הייטק,לא,כן,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Python/R,2022,0.5,15000
שכירה,מרכז,Product,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,הנדסת תעשיה וניהול,Python/R,2022,1,16500
שכירה,אזור ירושלים,Financial Analyst,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,מערכות מידע,Excel,2022,2,13000
שכירה,אזור תל אביב,Product,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,5,31000
שכירה,אזור תל אביב,Financial Analyst,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Excel,2022,1,11500
שכירה,צפון,All kind of data analysis,תעשייה ישראלית,לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,5,21000
שכירה,אזור תל אביב,Financial Analyst,הייטק,לא,כן,כן,לעיתים נדירות,לעיתים נדירות,מלאה,אין תואר,Python/R,2022,1,20000
שכירה,אזור תל אביב,Financial Analyst,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Other,2022,1.5,17000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Looker,2022,2,17000
שכירה,מרכז,All kind of data analysis,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,3,17500
שכירה,מרכז,Business analyst,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,סטטיסטיקה,Tableau,2022,10,25000
שכירה,מרכז,All kind of data analysis,הייטק (גלובלי),כן,כן,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Other,2022,20,70000
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,5,17000
שכירה,עבודה מהבית,All kind of data analysis,אחר,לא,כן,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Power BI,2022,3,
שכירה,אזור תל אביב,Product,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Other,2022,7,39000
שכירה,מרכז,All kind of data analysis,הייטק,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,0,14000
שכירה,מרכז,Marketing,תעשייה ישראלית,לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,1,13000
שכירה,אזור תל אביב,All kind of data analysis,ממשלתיח,לא,כן,כן,לא,לעיתים נדירות,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,4,22000
שכירה,אזור תל אביב,Product,הייטק,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Power BI,2022,6,32000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,סטטיסטיקה,Tableau,2022,5,29000
שכירה,מרכז,All kind of data analysis,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,10,45000
שכירה,מרכז,All kind of data analysis,הייטק,לא,לא,כן,כן,לא,מלאה,מדעי ההתנהגות או חברה,No Tool,2022,0,10000
לא מועסק כרגע,אזור תל אביב,All kind of data analysis,תעשייה ישראלית,לא,לעיתים נדירות,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,1,14000
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,מערכות מידע,Excel,2022,9,17000
שכירה,אזור ירושלים,BI,הייטק,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,0.5,20000
שכירה,אזור תל אביב,Marketing,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,מדעי הטבע,Tableau,2022,3,24000
עצמאית,עבודה מהבית,All kind of data analysis,אחר,לא,כן,כן,לא,כן,,מדעי הטבע,Excel,2022,1,
שכירה,אזור ירושלים,Product,הייטק (גלובלי),לא,לא,כן,לא,לעיתים נדירות,מלאה,מנהל עסקים,Other,2022,2,14500
שכירה,אזור תל אביב,All kind of data analysis,אחר,לא,לא,כן,לא,כן,לא קבוע או לפי שעות,מדעי המחשב,Excel,2022,4,11000
שכירה,מרכז,other,הייטק,לא,לא,כן,לא,כן,חצי משרה,כלכלה / פיננסים / חשבונאות,Other,2022,1,15000
שכירה,מרכז,Business analyst,הייטק,לא,כן,כן,כן,כן,מלאה,מדעי הטבע,Python/R,2022,3,25000
שכירה,אזור חיפה,Business analyst,הייטק,לא,לא,כן,לא,לא,מלאה,הנדסת תעשיה וניהול,Qlik,2022,9,24000
שכירה,אזור תל אביב,Financial Analyst,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,5,22500
שכירה,אזור תל אביב,All kind of data analysis,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Other,2022,3,21000
שכירה,מרכז,Business analyst,תעשייה ישראלית,כן,לא,כן,כן,לא,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,15,24000
שכירה,אזור תל אביב,Product,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,6,28000
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,6,20000
שכירה,אזור תל אביב,Product,הייטק,לא,כן,כן,כן,כן,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,1,15000
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,כן,לא,כן,לא,כן,מלאה,מדעי הטבע,Excel,2022,10,24500
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,לעיתים נדירות,מלאה,אין תואר,Power BI,2022,8,17000
שכירה,אזור חיפה,other,צהל,לא,לא,כן,לעיתים נדירות,כן,מלאה,מדעי הטבע,Excel,2022,8,14000
שכירה,אזור תל אביב,Financial Analyst,תעשייה ישראלית,לא,לעיתים נדירות,כן,לעיתים נדירות,לעיתים נדירות,מלאה,כלכלה / פיננסים / חשבונאות,Qlik,2022,0,11000
שכירה,מרכז,Product,הייטק (גלובלי),כן,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,סטטיסטיקה,Tableau,2022,5,31000
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,סטטיסטיקה,Tableau,2022,3,15000
שכירה,אזור תל אביב,Financial Analyst,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לעיתים נדירות,מלאה,הנדסת תעשיה וניהול,Excel,2022,0,11060
שכירה,אזור תל אביב,All kind of data analysis,הייטק,לא,כן,כן,לא,לא,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,2,20000
שכירה,מרכז,All kind of data analysis,הייטק,לא,כן,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Excel,2022,3,19000
שכירה,אזור תל אביב,Business analyst,הייטק,כן,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Excel,2022,1.5,14000
שכירה,מרכז,Business analyst,הייטק,לא,לא,כן,לא,לא,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,2,17000
שכירה,אזור השפלה,Business analyst,הייטק (גלובלי),לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,מדעים מדויקים,Tableau,2022,1,17000
שכירה,מרכז,Product,אחר,לא,לעיתים נדירות,כן,לא,לעיתים נדירות,מלאה,מערכות מידע,Google Data studio,2022,1,12000
שכירה,אזור תל אביב,Product,הייטק,לא,כן,כן,כן,כן,מלאה,מדעי ההתנהגות או חברה,Google Data studio,2022,6,38000
שכירה,אזור תל אביב,All kind of data analysis,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Looker,2022,0.5,15500
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,לעיתים נדירות,כן,כן,לא,מלאה,כלכלה / פיננסים / חשבונאות,Other,2022,25,38000
שכירה,אזור תל אביב,Business analyst,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,2,20000
שכירה,מרכז,All kind of data analysis,אחר,לא,לא,כן,לא,לא,מלאה,מערכות מידע,Excel,2022,1,9000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לא,לא,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,4,15000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,לעיתים נדירות,כן,לא,כן,מלאה,סטטיסטיקה,Google Data studio,2022,3.5,32500
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,לעיתים נדירות,כן,לא,כן,מלאה,מנהל עסקים,Tableau,2022,3,33000
שכירה,אזור תל אביב,Business analyst,הייטק (גלובלי),לא,לא,כן,כן,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,3.5,19500
שכירה,אזור תל אביב,Marketing,הייטק (גלובלי),לא,לא,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Looker,2022,1,21800
שכירה,אזור תל אביב,Business analyst,הייטק,כן,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,1,20000
שכירה,אזור תל אביב,Product,צהל,כן,לעיתים נדירות,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,2,
שכירה,אזור תל אביב,Business analyst,הייטק,לא,כן,כן,לעיתים נדירות,לעיתים נדירות,מלאה,מנהל עסקים,Python/R,2022,1,18000
שכירה,אזור תל אביב,other,תעשייה ישראלית,לא,לעיתים נדירות,כן,לא,לא,מלאה,מדעי המחשב,Excel,2022,3,14250
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,כן,כן,לא,כן,מלאה,מערכות מידע,Tableau,2022,10,23000
שכירה,אזור תל אביב,Product,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,3,25000
שכירה,מרכז,All kind of data analysis,הייטק,כן,לא,כן,לעיתים נדירות,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,2,23000
שכירה,אזור תל אביב,Product,הייטק (גלובלי),כן,לא,כן,כן,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,6,29000
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Qlik,2022,4,22000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,0,15000
שכירה,צפון,All kind of data analysis,הייטק,לא,לא,כן,לעיתים נדירות,לעיתים נדירות,מלאה,מנהל עסקים,Google Data studio,2022,5,10000
שכירה,אזור חיפה,Business analyst,אחר,לא,לעיתים נדירות,כן,לעיתים נדירות,לעיתים נדירות,מלאה,כלכלה / פיננסים / חשבונאות,Python/R,2022,2,18000
שכירה,אזור תל אביב,Fraud Analyst,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Google Data studio,2022,2.5,19000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,לא,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,No Tool,2022,6,42000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Other,2022,1,13000
שכירה,מרכז,All kind of data analysis,תעשייה ישראלית,כן,כן,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Power BI,2022,5,27000
שכירה,אזור תל אביב,Business analyst,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,מדעי ההתנהגות או חברה,Python/R,2022,2,20000
שכירה,אזור ירושלים,Product,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Looker,2022,1,19000
שכירה,מרכז,Business analyst,הייטק (גלובלי),כן,לא,כן,לא,כן,מלאה,מדעי המחשב,Power BI,2022,4,27500
לא מועסק כרגע,מרכז,All kind of data analysis,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,מדעי ההתנהגות או חברה,Excel,2022,1,9000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,סטטיסטיקה,Tableau,2022,10,45000
שכירה,אזור תל אביב,BI,הייטק,כן,כן,כן,כן,כן,מלאה,אין תואר,Looker,2022,7,35000
עצמאית,אזור תל אביב,All kind of data analysis,הייטק,כן,כן,כן,כן,כן,,כלכלה / פיננסים / חשבונאות,Power BI,2022,8,
שכירה,אזור תל אביב,All kind of data analysis,הייטק,כן,לא,כן,כן,כן,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,5,20000
שכירה,מרכז,Marketing,הייטק,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,0,16000
שכירה,אזור תל אביב,Product,הייטק,כן,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,2,24000
שכירה,עבודה מהבית,Marketing,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,מדעי המחשב,Tableau,2022,5,17000
שכירה,דרום,All kind of data analysis,הייטק,לא,כן,כן,לא,כן,מלאה,מנהל עסקים,Python/R,2022,3,20000
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,סטטיסטיקה,Tableau,2022,2,16000
שכירה,אזור תל אביב,Product,הייטק,לא,כן,כן,לא,כן,מלאה,מדעי המחשב,Excel,2022,1,18000
שכירה,מרכז,All kind of data analysis,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,מדעי ההתנהגות או חברה,Power BI,2022,6,22000
שכירה,מרכז,Product,תעשייה ישראלית,לא,לא,כן,לא,לעיתים נדירות,מלאה,אין תואר,Tableau,2022,1,15000
שכירה,אזור ירושלים,Product,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,סטטיסטיקה,Redash,2022,1,21500
שכירה,אזור תל אביב,Marketing,הייטק,לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Excel,2022,1,11500
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לא,כן,מלאה,הנדסת תעשיה וניהול,Other,2022,9,28000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לעיתים נדירות,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,1.5,17000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,מערכות מידע,Google Data studio,2022,1,13000
שכירה,אזור ירושלים,All kind of data analysis,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Excel,2022,15,
שכירה,אזור תל אביב,All kind of data analysis,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,2,18000
שכירה,אזור באר שבע,All kind of data analysis,הייטק,לא,לעיתים נדירות,כן,לא,לא,חצי משרה,הנדסת תעשיה וניהול,Excel,2022,1,6000
שכירה,אזור תל אביב,Business analyst,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,מדעים מדויקים,Power BI,2022,1,15000
שכירה,אזור תל אביב,All kind of data analysis,תעשייה ישראלית,לא,כן,כן,כן,לא,חצי משרה,מנהל עסקים,Power BI,2022,1,5500
עצמאית,עבודה מהבית,All kind of data analysis,אחר,לא,כן,כן,כן,כן,,הנדסת תעשיה וניהול,Excel,2022,15,
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Qlik,2022,3,18000
שכירה,מרכז,All kind of data analysis,הייטק,כן,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,7,37000
שכירה,מרכז,Marketing,תעשייה ישראלית,כן,לא,כן,לא,כן,מלאה,מערכות מידע,Tableau,2022,2.5,20000
שכירה,צפון,Marketing,הייטק,לא,לא,כן,לא,כן,מלאה,אין תואר,Tableau,2022,1,11500
שכירה,אזור ירושלים,Business analyst,הייטק,לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Qlik,2022,2,20000
שכירה,עבודה מהבית,All kind of data analysis,הייטק (גלובלי),כן,לא,כן,לעיתים נדירות,כן,מלאה,מדעי ההתנהגות או חברה,Power BI,2022,6,36000
שכירה,אזור תל אביב,Product,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Looker,2022,2,14000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,כן,כן,לא,לעיתים נדירות,מלאה,#N/A,No Tool,2022,1.5,18000
שכירה,אזור תל אביב,Product,הייטק,לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,3,26500
שכירה,מרכז,Product,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Looker,2022,8,28000
שכירה,מרכז,All kind of data analysis,הייטק,לא,כן,כן,לא,כן,מלאה,אין תואר,Tableau,2022,4,23000
שכירה,אזור חיפה,other,הייטק,כן,כן,כן,כן,לעיתים נדירות,מלאה,אחר,Power BI,2022,12,22000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Looker,2022,7,
שכירה,אזור תל אביב,Business analyst,אחר,לא,לא,כן,לא,לעיתים נדירות,מלאה,סטטיסטיקה,Excel,2022,2,14000
שכירה,אזור תל אביב,Financial Analyst,אחר,לא,לא,כן,לעיתים נדירות,לא,מלאה,מערכות מידע,Excel,2022,0,9500
שכירה,אזור השפלה,Business analyst,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,כלכלה / פיננסים / חשבונאות,Excel,2022,2,18000
שכירה,אזור תל אביב,other,תעשייה ישראלית,לא,לא,כן,כן,כן,מלאה,אין תואר,Python/R,2022,6,25000
שכירה,מרכז,Financial Analyst,הייטק (גלובלי),לא,לא,כן,לא,לא,מלאה,מדעי ההתנהגות או חברה,Power BI,2022,2,15000
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,כלכלה / פיננסים / חשבונאות,Power BI,2022,0,11000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לעיתים נדירות,כן,כן,כן,מלאה,סטטיסטיקה,Tableau,2022,4,28000
