year_of_surv,Column1,job_location,company_type,is_manager,is_python,is_data_analyst,is_ml,is_sql,is_full_time,viz_tool,exp,salary
2022,33,אזור חיפה,צהל,לא,לעיתים נדירות,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Python/R,10,21000
2022,34,אזור תל אביב,הייטק,כן,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,4,32000
2022,35,אזור תל אביב,הייטק (גלובלי),לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,1,21000
2022,36,אזור ירושלים,ממשלתיח,לא,כן,כן,כן,לא,חצי משרה,Power BI,1,4000
2022,37,אזור תל אביב,תעשייה ישראלית,כן,לא,כן,לא,לעיתים נדירות,מלאה,Qlik,5,21000
2022,38,עבודה מהבית,אחר,לא,כן,כן,לא,כן,מלאה,Qlik,5,26000
2022,39,אזור ירושלים,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,Power BI,5,15000
2022,40,אזור תל אביב,תעשייה ישראלית,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Power BI,10,23000
2022,41,מרכז,אחר,לא,לא,כן,לעיתים נדירות,לא,מלאה,Excel,2,9500
2022,42,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לעיתים נדירות,כן,מלאה,Tableau,4,22000
2022,43,מרכז,הייטק,לא,לא,כן,לעיתים נדירות,כן,מלאה,Company Inside Tool,2,22000
2022,44,אזור תל אביב,הייטק,לא,לא,כן,לעיתים נדירות,כן,מלאה,Looker/Google Data studio,4.5,30000
2022,45,מרכז,תעשייה ישראלית,כן,לעיתים נדירות,כן,לעיתים נדירות,כן,,Power BI,20,
2022,46,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Tableau,12,27000
2022,47,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,כן,כן,מלאה,Tableau,4,20000
2022,48,מרכז,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,1,18000
2022,49,עבודה מהבית,הייטק,לא,כן,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Python/R,0,10500
2022,50,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,1,18000
2022,51,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Excel,3,12000
2022,52,אזור תל אביב,הייטק,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,3,26000
2022,53,אזור תל אביב,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,Other,5,25000
2022,54,אזור באר שבע,הייטק,לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,3,9500
2022,55,אזור ירושלים,ממשלתיח,לא,כן,כן,לעיתים נדירות,לא,חצי משרה,Tableau,2,7700
2022,56,אזור תל אביב,הייטק,לא,כן,כן,כן,כן,מלאה,Python/R,0.5,15000
2022,57,מרכז,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,Python/R,1,16500
2022,58,אזור ירושלים,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,Excel,2,13000
2022,59,אזור תל אביב,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,Tableau,5,31000
2022,60,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Excel,1,11500
2022,61,צפון,תעשייה ישראלית,לא,כן,כן,לא,כן,מלאה,Power BI,5,21000
2022,62,אזור תל אביב,הייטק,לא,כן,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Python/R,1,20000
2022,63,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,Company Inside Tool,1.5,17000
2022,64,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,2,17000
2022,65,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Tableau,3,17500
2022,66,מרכז,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Tableau,10,25000
2022,67,מרכז,הייטק (גלובלי),כן,כן,כן,לא,כן,מלאה,Other,20,70000
2022,68,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,Tableau,5,17000
2022,69,עבודה מהבית,אחר,לא,כן,כן,לא,כן,מלאה,Power BI,3,
2022,70,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Company Inside Tool,7,39000
2022,71,מרכז,הייטק,לא,לא,כן,לא,כן,מלאה,Power BI,0,14000
2022,72,מרכז,תעשייה ישראלית,לא,כן,כן,לא,כן,מלאה,Power BI,1,13000
2022,73,אזור תל אביב,ממשלתיח,לא,כן,כן,לא,לעיתים נדירות,מלאה,Python/R,4,22000
2022,74,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Power BI,6,32000
2022,75,אזור תל אביב,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,Tableau,5,29000
2022,76,מרכז,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,Python/R,10,45000
2022,77,מרכז,הייטק,לא,לא,כן,כן,לא,מלאה,None,0,10000
2022,78,אזור תל אביב,תעשייה ישראלית,לא,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,1,14000
2022,79,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,Excel,9,17000
2022,80,אזור ירושלים,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,0.5,20000
2022,81,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Tableau,3,24000
2022,82,עבודה מהבית,אחר,לא,כן,כן,לא,כן,,Excel,1,
2022,83,אזור ירושלים,הייטק (גלובלי),לא,לא,כן,לא,לעיתים נדירות,מלאה,Company Inside Tool,2,14500
2022,84,אזור תל אביב,אחר,לא,לא,כן,לא,כן,לא קבוע או לפי שעות,Excel,4,11000
2022,85,מרכז,הייטק,לא,לא,כן,לא,כן,חצי משרה,Other,1,15000
2022,86,מרכז,הייטק,לא,כן,כן,כן,כן,מלאה,Python/R,3,25000
2022,87,אזור חיפה,הייטק,לא,לא,כן,לא,לא,מלאה,Qlik,9,24000
2022,88,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Excel,5,22500
2022,89,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Other,3,21000
2022,90,מרכז,תעשייה ישראלית,כן,לא,כן,כן,לא,מלאה,Tableau,15,24000
2022,91,אזור תל אביב,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,Python/R,6,28000
2022,92,מרכז,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,Excel,6,20000
2022,93,אזור תל אביב,הייטק,לא,כן,כן,כן,כן,מלאה,Python/R,1,15000
2022,94,אזור תל אביב,תעשייה ישראלית,כן,לא,כן,לא,כן,מלאה,Excel,10,24500
2022,95,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,לעיתים נדירות,מלאה,Power BI,8,17000
2022,96,אזור חיפה,צהל,לא,לא,כן,לעיתים נדירות,כן,מלאה,Excel,8,14000
2022,97,אזור תל אביב,תעשייה ישראלית,לא,לעיתים נדירות,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Qlik,0,11000
2022,98,מרכז,הייטק (גלובלי),כן,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,5,31000
2022,99,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Tableau,3,15000
2022,100,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Excel,0,11060
2022,101,אזור תל אביב,הייטק,לא,כן,כן,לא,לא,מלאה,Excel,2,20000
2022,102,מרכז,הייטק,לא,כן,כן,לא,כן,מלאה,Excel,3,19000
2022,103,אזור תל אביב,הייטק,כן,לא,כן,לא,כן,מלאה,Excel,1.5,14000
2022,104,מרכז,הייטק,לא,לא,כן,לא,לא,מלאה,Tableau,2,17000
2022,105,אזור השפלה,הייטק (גלובלי),לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,1,17000
2022,106,מרכז,אחר,לא,לעיתים נדירות,כן,לא,לעיתים נדירות,מלאה,Looker/Google Data studio,1,12000
2022,107,אזור תל אביב,הייטק,לא,כן,כן,כן,כן,מלאה,Looker/Google Data studio,6,38000
2022,108,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Looker/Google Data studio,0.5,15500
2022,109,אזור תל אביב,הייטק,כן,לעיתים נדירות,כן,כן,לא,מלאה,Company Inside Tool,25,38000
2022,110,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Tableau,2,20000
2022,111,מרכז,אחר,לא,לא,כן,לא,לא,מלאה,Excel,1,9000
2022,112,אזור תל אביב,הייטק,לא,לא,כן,לא,לא,מלאה,Excel,4,15000
2022,113,אזור תל אביב,הייטק,כן,לעיתים נדירות,כן,לא,כן,מלאה,Looker/Google Data studio,3.5,32500
2022,114,אזור תל אביב,הייטק,כן,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,3,33000
2022,115,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,כן,כן,מלאה,Tableau,3.5,19500
2022,116,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,כן,כן,מלאה,Looker/Google Data studio,1,21800
2022,117,אזור תל אביב,הייטק,כן,לא,כן,לא,כן,מלאה,Power BI,1,20000
2022,118,אזור תל אביב,צהל,כן,לעיתים נדירות,כן,לא,כן,מלאה,Python/R,2,
2022,119,אזור תל אביב,הייטק,לא,כן,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Python/R,1,18000
2022,120,אזור תל אביב,תעשייה ישראלית,לא,לעיתים נדירות,כן,לא,לא,מלאה,Excel,3,14250
2022,121,מרכז,תעשייה ישראלית,לא,כן,כן,לא,כן,מלאה,Tableau,10,23000
2022,122,אזור תל אביב,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,3,25000
2022,123,מרכז,הייטק,כן,לא,כן,לעיתים נדירות,כן,מלאה,Tableau,2,23000
2022,124,אזור תל אביב,הייטק (גלובלי),כן,לא,כן,כן,כן,מלאה,Tableau,6,29000
2022,125,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Qlik,4,22000
2022,126,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Excel,0,15000
2022,127,צפון,הייטק,לא,לא,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Looker/Google Data studio,5,10000
2022,128,אזור חיפה,אחר,לא,לעיתים נדירות,כן,לעיתים נדירות,לעיתים נדירות,מלאה,Python/R,2,18000
2022,129,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,2.5,19000
2022,130,אזור תל אביב,הייטק,כן,לא,כן,כן,כן,מלאה,None,6,42000
2022,131,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Other,1,13000
2022,132,מרכז,תעשייה ישראלית,כן,כן,כן,כן,כן,מלאה,Power BI,5,27000
2022,133,אזור תל אביב,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,Python/R,2,20000
2022,134,אזור ירושלים,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Looker/Google Data studio,1,19000
2022,135,מרכז,הייטק (גלובלי),כן,לא,כן,לא,כן,מלאה,Power BI,4,27500
2022,136,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,Excel,1,9000
2022,137,אזור תל אביב,הייטק,כן,כן,כן,לעיתים נדירות,כן,מלאה,Tableau,10,45000
2022,138,אזור תל אביב,הייטק,כן,כן,כן,כן,כן,מלאה,Looker/Google Data studio,7,35000
2022,139,אזור תל אביב,הייטק,כן,כן,כן,כן,כן,,Power BI,8,
2022,140,אזור תל אביב,הייטק,כן,לא,כן,כן,כן,מלאה,Excel,5,20000
2022,141,מרכז,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,0,16000
2022,142,אזור תל אביב,הייטק,כן,כן,כן,לא,כן,מלאה,Tableau,2,24000
2022,143,עבודה מהבית,הייטק (גלובלי),לא,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,5,17000
2022,144,דרום,הייטק,לא,כן,כן,לא,כן,מלאה,Python/R,3,20000
2022,145,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Tableau,2,16000
2022,146,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Excel,1,18000
2022,147,מרכז,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,Power BI,6,22000
2022,148,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לעיתים נדירות,מלאה,Tableau,1,15000
2022,149,אזור ירושלים,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,Redash,1,21500
2022,150,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Excel,1,11500
2022,151,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Other,9,28000
2022,152,אזור תל אביב,הייטק,לא,לא,כן,לעיתים נדירות,כן,מלאה,Tableau,1.5,17000
2022,153,אזור תל אביב,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,Looker/Google Data studio,1,13000
2022,154,אזור ירושלים,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Excel,15,
2022,155,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Power BI,2,18000
2022,156,אזור באר שבע,הייטק,לא,לעיתים נדירות,כן,לא,לא,חצי משרה,Excel,1,6000
2022,157,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,Power BI,1,15000
2022,158,אזור תל אביב,תעשייה ישראלית,לא,כן,כן,כן,לא,חצי משרה,Power BI,1,5500
2022,159,עבודה מהבית,אחר,לא,כן,כן,כן,כן,,Excel,15,
2022,160,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Qlik,3,18000
2022,161,מרכז,הייטק,כן,כן,כן,לא,כן,מלאה,Tableau,7,37000
2022,162,מרכז,תעשייה ישראלית,כן,לא,כן,לא,כן,מלאה,Tableau,2.5,20000
2022,163,צפון,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,1,11500
2022,164,אזור ירושלים,הייטק,לא,כן,כן,לא,כן,מלאה,Qlik,2,20000
2022,165,עבודה מהבית,הייטק (גלובלי),כן,לא,כן,לעיתים נדירות,כן,מלאה,Power BI,6,36000
2022,166,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,2,14000
2022,167,אזור תל אביב,הייטק,לא,כן,כן,לא,לעיתים נדירות,מלאה,None,1.5,18000
2022,168,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Tableau,3,26500
2022,169,מרכז,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,8,28000
2022,170,מרכז,הייטק,לא,כן,כן,לא,כן,מלאה,Tableau,4,23000
2022,171,אזור חיפה,הייטק,כן,כן,כן,כן,לעיתים נדירות,מלאה,Power BI,12,22000
2022,172,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,7,
2022,173,אזור תל אביב,אחר,לא,לא,כן,לא,לעיתים נדירות,מלאה,Excel,2,14000
2022,174,אזור תל אביב,אחר,לא,לא,כן,לעיתים נדירות,לא,מלאה,Excel,0,9500
2022,175,אזור השפלה,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,Excel,2,18000
2022,176,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,כן,כן,מלאה,Python/R,6,25000
2022,177,מרכז,הייטק (גלובלי),לא,לא,כן,לא,לא,מלאה,Power BI,2,15000
2022,178,מרכז,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,Power BI,0,11000
2022,179,אזור תל אביב,הייטק,לא,לעיתים נדירות,כן,כן,כן,מלאה,Tableau,4,28000
2022,180,מרכז,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,Tableau,13,26000
2022,181,מרכז,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,Tableau,0,15000
2022,182,מרכז,הייטק (גלובלי),לא,לא,כן,לא,לא,חצי משרה,Tableau,0,7200
2022,183,מרכז,הייטק,כן,כן,כן,כן,כן,מלאה,Tableau,18,43000
2022,184,מרכז,הייטק (גלובלי),לא,לא,כן,לא,לא,מלאה,Excel,5,18000
2022,185,אזור תל אביב,הייטק,כן,כן,כן,כן,כן,מלאה,Tableau,10,38500
2022,186,מרכז,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,8,30000
2022,187,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,כן,מלאה,Excel,8,21000
2022,188,אזור תל אביב,תעשייה ישראלית,כן,לא,כן,כן,כן,מלאה,Other,4,25000
2022,189,אזור ירושלים,תעשייה ישראלית,כן,לא,כן,לא,כן,,Power BI,4,
2022,190,אזור תל אביב,הייטק (גלובלי),כן,לא,כן,לא,כן,מלאה,Tableau,5,29000
2022,191,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לעיתים נדירות,מלאה,Other,1,15000
2022,192,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,כן,לא,מלאה,Excel,1.5,13000
2022,193,מרכז,תעשייה ישראלית,לא,לא,כן,כן,לעיתים נדירות,מלאה,Power BI,1,13000
2022,194,מרכז,הייטק (גלובלי),כן,לא,כן,לא,כן,מלאה,Tableau,15,29000
2022,195,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,Excel,3,4000
2022,196,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Tableau,1,14000
2022,197,מרכז,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Power BI,1,18500
2022,198,צפון,הייטק (גלובלי),לא,לא,כן,לא,לעיתים נדירות,מלאה,Power BI,4,16500
2022,199,מרכז,תעשייה ישראלית,כן,לא,כן,לא,כן,מלאה,Qlik,5,16000
2022,200,מרכז,תעשייה ישראלית,לא,לא,כן,לעיתים נדירות,לא,מלאה,Qlik,1,13000
2022,201,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Python/R,2,14500
2022,202,אזור תל אביב,הייטק (גלובלי),לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Power BI,15,27000
2022,203,מרכז,אחר,לא,כן,כן,כן,כן,מלאה,Excel,5,16000
2022,204,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Tableau,1,18000
2022,205,אזור תל אביב,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,Tableau,3.5,27000
2022,206,אזור תל אביב,הייטק,לא,כן,כן,לעיתים נדירות,כן,חצי משרה,Tableau,4,20000
2022,207,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,Looker/Google Data studio,5,45000
2022,208,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,כן,כן,מלאה,None,3,13500
2022,209,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Looker/Google Data studio,3,18000
2022,210,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,3,18000
2022,211,אזור תל אביב,הייטק,כן,לא,כן,לא,כן,מלאה,Power BI,2,17000
2022,212,מרכז,תעשייה ישראלית,לא,לא,כן,לא,לעיתים נדירות,מלאה,Power BI,1,18000
2022,213,מרכז,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,2.5,20000
2022,214,עבודה מהבית,אחר,לא,כן,כן,כן,לעיתים נדירות,,Python/R,2,
2022,215,מרכז,צהל,לא,כן,כן,לעיתים נדירות,כן,מלאה,Excel,0,12000
2022,216,מרכז,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,Company Inside Tool,2,20000
2022,217,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Qlik,4,22000
2022,218,אזור חיפה,הייטק,כן,לא,כן,לעיתים נדירות,כן,מלאה,Qlik,10,21000
2022,219,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Other,5,9998
2022,220,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Excel,4,16000
2022,221,אזור ירושלים,אחר,לא,לא,כן,לא,לא,מלאה,Excel,4.5,17000
2022,222,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,3,20000
2022,223,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Tableau,4,24000
2022,224,אזור תל אביב,הייטק,כן,כן,כן,לא,כן,,Tableau,10,
2022,225,אזור חיפה,צהל,כן,לא,כן,לעיתים נדירות,לא,מלאה,Excel,6,23000
2022,226,מרכז,הייטק,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,None,6,19000
2022,227,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Power BI,1,14000
2022,228,אזור תל אביב,תעשייה ישראלית,לא,כן,כן,כן,כן,מלאה,Tableau,2,13000
2022,229,אזור חיפה,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Excel,4,22000
2020,230,אזור חיפה,אחר,לא,,כן,לא,כן,,Power BI,12,
2020,231,מרכז,הייטק,לא,,כן,כן,כן,מלאה,Tableau,10,26000
2020,232,אזור ירושלים,הייטק (גלובלי),לא,,כן,כן,כן,מלאה,Power BI,2,15500
2020,233,אזור תל אביב,תעשייה ישראלית,לא,,כן,כן,כן,מלאה,Qlik,2,15500
2020,234,אזור תל אביב,תעשייה ישראלית,לא,,כן,לא,כן,מלאה,None,0,12000
2020,235,אזור תל אביב,הייטק,לא,,כן,לעיתים נדירות,כן,מלאה,Redash,6,26000
2020,236,אזור תל אביב,הייטק (גלובלי),לא,,כן,לא,כן,מלאה,Tableau,3,19500
2020,237,אזור תל אביב,תעשייה ישראלית,לא,,כן,לעיתים נדירות,כן,מלאה,None,2.5,15500
2020,238,אזור תל אביב,תעשייה ישראלית,לא,,כן,כן,כן,מלאה,Looker/Google Data studio,1,15500
2020,239,אזור ירושלים,הייטק,לא,,כן,לא,כן,מלאה,Other,2,19500
2020,240,אזור ירושלים,תעשייה ישראלית,לא,,כן,כן,לעיתים נדירות,לא קבוע או לפי שעות,Excel,1,7500
2020,241,אזור תל אביב,אחר,כן,,כן,לא,כן,לא קבוע או לפי שעות,Tableau,0,7500
2020,242,אזור תל אביב,הייטק,לא,,כן,לעיתים נדירות,כן,מלאה,Power BI,12,19500
2020,243,מרכז,הייטק (גלובלי),כן,,כן,לעיתים נדירות,כן,מלאה,Power BI,5,19500
2020,244,אזור תל אביב,ממשלתיח,לא,,כן,לעיתים נדירות,לעיתים נדירות,חצי משרה,Tableau,1,7500
2020,245,דרום,הייטק (גלובלי),לא,,כן,כן,לא,לא קבוע או לפי שעות,Power BI,1.5,7500
2020,246,מרכז,תעשייה ישראלית,לא,,כן,לא,כן,,Excel,9,
2020,247,אזור תל אביב,הייטק (גלובלי),לא,,כן,לא,כן,מלאה,Tableau,15,34000
2020,248,אזור תל אביב,הייטק,לא,,כן,לעיתים נדירות,כן,מלאה,None,7,23000
2020,249,אזור תל אביב,תעשייה ישראלית,לא,,כן,לא,לא,מלאה,Power BI,3,7500
2020,250,אזור תל אביב,הייטק,לא,,כן,לא,כן,מלאה,Power BI,2,15500
2020,251,אזור ירושלים,ממשלתיח,לא,,כן,לא,לא,חצי משרה,Excel,1,7500
2020,252,מרכז,תעשייה ישראלית,לא,,כן,לא,לעיתים נדירות,,Power BI,1,
2020,253,אזור ירושלים,צהל,כן,,כן,לעיתים נדירות,לא,מלאה,Other,6,23000
2020,254,אזור חיפה,הייטק (גלובלי),כן,,כן,לא,כן,מלאה,Tableau,5,26000
2020,255,מרכז,תעשייה ישראלית,לא,,כן,לא,כן,מלאה,Qlik,0,7500
2020,256,מרכז,תעשייה ישראלית,לא,,כן,לא,כן,מלאה,Tableau,4,19500
